input_filepath,ground_truth,openai_prediction,rot_prediction,output_filepath
PetImages/Cat/2340.jpg,cat,cat,cat,
PetImages/Cat/2090.jpg,cat,cat,cat,
PetImages/Cat/1926.jpg,cat,cat,cat,
PetImages/Cat/1524.jpg,cat,cat,cat,
PetImages/Cat/2271.jpg,cat,cat,cat,
PetImages/Cat/1848.jpg,cat,cat,cat,
PetImages/Cat/1410.jpg,cat,cat,cat,
PetImages/Cat/2114.jpg,cat,cat,cat,
PetImages/Cat/625.jpg,cat,cat,cat,
PetImages/Cat/1399.jpg,cat,cat,cat,
PetImages/Cat/2478.jpg,cat,cat,dog,
PetImages/Cat/551.jpg,cat,cat,cat,
PetImages/Cat/843.jpg,cat,cat,cat,
PetImages/Cat/1412.jpg,cat,cat,cat,
PetImages/Cat/431.jpg,cat,cat,cat,
PetImages/Cat/1189.jpg,cat,cat,cat,
PetImages/Cat/1214.jpg,cat,cat,cat,
PetImages/Cat/2053.jpg,cat,cat,cat,
PetImages/Cat/234.jpg,cat,cat,cat,
PetImages/Cat/2240.jpg,cat,cat,cat,
PetImages/Cat/778.jpg,cat,cat,cat,
PetImages/Cat/198.jpg,cat,cat,cat,
PetImages/Cat/385.jpg,cat,cat,cat,
PetImages/Cat/1774.jpg,cat,cat,cat,
PetImages/Cat/1487.jpg,cat,cat,cat,
PetImages/Cat/1407.jpg,cat,cat,cat,
PetImages/Cat/2140.jpg,cat,cat,cat,
PetImages/Cat/1989.jpg,cat,cat,cat,
PetImages/Cat/644.jpg,cat,cat,cat,
PetImages/Cat/2075.jpg,cat,cat,cat,
PetImages/Cat/1753.jpg,cat,cat,cat,
PetImages/Cat/1556.jpg,cat,cat,cat,
PetImages/Cat/1056.jpg,cat,cat,cat,
PetImages/Cat/2260.jpg,cat,cat,cat,
PetImages/Cat/170.jpg,cat,cat,cat,
PetImages/Cat/729.jpg,cat,cat,cat,
PetImages/Cat/1340.jpg,cat,cat,cat,
PetImages/Cat/1037.jpg,cat,cat,cat,
PetImages/Cat/1566.jpg,cat,cat,cat,
PetImages/Cat/571.jpg,cat,cat,cat,
PetImages/Cat/1936.jpg,cat,cat,cat,
PetImages/Cat/1992.jpg,cat,cat,cat,
PetImages/Cat/1744.jpg,cat,cat,cat,
PetImages/Cat/302.jpg,cat,cat,cat,
PetImages/Cat/188.jpg,cat,cat,cat,
PetImages/Cat/111.jpg,cat,cat,cat,
PetImages/Cat/703.jpg,cat,cat,cat,
PetImages/Cat/694.jpg,cat,cat,cat,
PetImages/Cat/759.jpg,cat,cat,cat,
PetImages/Cat/1478.jpg,cat,cat,cat,
PetImages/Cat/1552.jpg,cat,cat,cat,
PetImages/Cat/677.jpg,cat,cat,cat,
PetImages/Cat/600.jpg,cat,cat,cat,
PetImages/Cat/938.jpg,cat,cat,cat,
PetImages/Cat/1207.jpg,cat,cat,cat,
PetImages/Cat/1119.jpg,cat,cat,cat,
PetImages/Cat/1835.jpg,cat,cat,cat,
PetImages/Cat/195.jpg,cat,cat,cat,
PetImages/Cat/309.jpg,cat,cat,cat,
PetImages/Cat/2138.jpg,cat,cat,cat,
PetImages/Cat/1479.jpg,cat,cat,cat,
PetImages/Cat/2110.jpg,cat,cat,cat,
PetImages/Cat/1519.jpg,cat,cat,cat,
PetImages/Cat/2468.jpg,cat,cat,cat,
PetImages/Cat/2131.jpg,cat,cat,cat,
PetImages/Cat/344.jpg,cat,cat,cat,
PetImages/Cat/754.jpg,cat,cat,cat,
PetImages/Cat/105.jpg,cat,cat,cat,
PetImages/Cat/745.jpg,cat,cat,cat,
PetImages/Cat/1670.jpg,cat,cat,cat,
PetImages/Cat/2280.jpg,cat,cat,cat,
PetImages/Cat/1788.jpg,cat,cat,cat,
PetImages/Cat/1051.jpg,cat,cat,cat,
PetImages/Cat/1757.jpg,cat,cat,cat,
PetImages/Cat/1031.jpg,cat,cat,cat,
PetImages/Cat/453.jpg,cat,cat,cat,
PetImages/Cat/1553.jpg,cat,cat,cat,
PetImages/Cat/1438.jpg,cat,cat,cat,
PetImages/Cat/1289.jpg,cat,cat,cat,
PetImages/Cat/1572.jpg,cat,cat,cat,
PetImages/Cat/2153.jpg,cat,cat,cat,
