filename,true_label,api_prediction,model
PetImages/Cat/0.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/0.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/1.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/1.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/2.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/2.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/3.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/3.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/4.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/4.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/5.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/5.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/6.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/6.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/7.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/7.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/8.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/8.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/9.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/9.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/10.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/10.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/11.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/11.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/12.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/12.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/13.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/13.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/14.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/14.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/15.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/15.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/16.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/16.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/17.jpg,cat,cat,gpt-4o-mini
PetImages/Dog/17.jpg,dog,dog,gpt-4o-mini
PetImages/Cat/18.jpg,cat,cat,gpt-4o-mini
